time_period,time,duration,amplitude
18:00:00,18:00:04,3.0,-1.8750000000039568
18:00:00,18:01:10,66.0,5.625000000003544
18:00:00,18:01:49,39.0,-1.8749999999997935
18:00:00,18:01:51,2.0,1.8749999999997935
18:00:00,18:01:52,1.0,-1.8749999999997935
18:00:00,18:01:55,3.0,1.8749999999997935
18:00:00,18:02:01,6.0,-1.8749999999997935
18:00:00,18:02:05,4.0,1.8749999999997935
18:00:00,18:04:23,138.0,-3.749999999999587
18:00:00,18:11:34,431.0,3.749999999999587
18:00:00,18:27:29,955.0,-1.8749999999997935
18:00:00,18:27:50,21.0,1.8749999999997935
18:00:00,18:27:51,1.0,-1.8749999999997935
18:00:00,18:28:36,45.0,1.8749999999997935
18:00:00,18:30:24,108.0,-1.8749999999997935
18:00:00,18:30:27,3.0,1.8749999999997935
18:00:00,18:31:46,79.0,-5.625000000003544
18:00:00,18:32:53,67.0,1.8750000000039568
18:00:00,18:41:39,526.0,-5.625000000003544
18:00:00,18:42:07,28.0,3.749999999999587
18:00:00,18:43:36,89.0,-3.749999999999587
18:00:00,18:43:37,1.0,1.8750000000039568
18:00:00,18:43:43,6.0,-1.8750000000039568
18:00:00,18:43:51,8.0,1.8750000000039568
18:00:00,18:44:05,14.0,-5.625000000003543
18:00:00,18:44:06,1.0,3.749999999999587
18:00:00,18:44:41,35.0,-3.749999999999587
18:00:00,18:53:39,538.0,7.499999999999175
18:00:00,18:53:40,1.0,-3.749999999999587
18:00:00,18:53:48,8.0,3.749999999999587
18:00:00,18:00:04,3.0,-1.8750000000039568
18:00:00,18:01:10,66.0,5.625000000003544
18:00:00,18:01:49,39.0,-1.8749999999997935
18:00:00,18:01:51,2.0,1.8749999999997935
18:00:00,18:01:52,1.0,-1.8749999999997935
18:00:00,18:01:55,3.0,1.8749999999997935
18:00:00,18:02:01,6.0,-1.8749999999997935
18:00:00,18:02:05,4.0,1.8749999999997935
18:00:00,18:04:23,138.0,-3.749999999999587
18:00:00,18:11:34,431.0,3.749999999999587
18:00:00,18:27:29,955.0,-1.8749999999997935
18:00:00,18:27:50,21.0,1.8749999999997935
18:00:00,18:27:51,1.0,-1.8749999999997935
18:00:00,18:28:36,45.0,1.8749999999997935
18:00:00,18:30:24,108.0,-1.8749999999997935
18:00:00,18:30:27,3.0,1.8749999999997935
18:00:00,18:31:46,79.0,-5.625000000003544
18:00:00,18:32:53,67.0,1.8750000000039568
18:00:00,18:41:39,526.0,-5.625000000003544
18:00:00,18:42:07,28.0,3.749999999999587
18:00:00,18:43:36,89.0,-3.749999999999587
18:00:00,18:43:37,1.0,1.8750000000039568
18:00:00,18:43:43,6.0,-1.8750000000039568
18:00:00,18:43:51,8.0,1.8750000000039568
18:00:00,18:44:05,14.0,-5.625000000003543
18:00:00,18:44:06,1.0,3.749999999999587
18:00:00,18:44:41,35.0,-3.749999999999587
18:00:00,18:53:39,538.0,7.499999999999175
18:00:00,18:53:40,1.0,-3.749999999999587
18:00:00,18:53:48,8.0,3.749999999999587
19:00:00,19:00:57,41.0,-3.749999999999587
19:00:00,19:02:04,67.0,7.500000000003338
19:00:00,19:02:14,10.0,-1.8749999999997935
19:00:00,19:02:41,27.0,1.8749999999997935
19:00:00,19:03:20,39.0,-1.8749999999997935
19:00:00,19:03:23,3.0,1.8749999999997935
19:00:00,19:05:00,97.0,-3.75000000000375
19:00:00,19:05:08,8.0,3.7500000000037503
19:00:00,19:06:10,62.0,-3.75000000000375
19:00:00,19:06:11,1.0,1.8750000000039568
19:00:00,19:06:40,29.0,-1.8750000000039568
19:00:00,19:06:50,10.0,1.8750000000039568
19:00:00,19:06:54,4.0,-1.8750000000039568
19:00:00,19:07:10,16.0,1.8750000000039568
19:00:00,19:07:19,9.0,-1.8750000000039568
19:00:00,19:07:59,40.0,1.8750000000039568
19:00:00,19:12:21,262.0,-1.8750000000039568
19:00:00,19:12:32,11.0,3.75000000000375
19:00:00,19:12:36,4.0,-1.8749999999997935
19:00:00,19:12:37,1.0,1.8749999999997935
19:00:00,19:13:05,28.0,-3.7500000000037503
19:00:00,19:13:32,27.0,1.8750000000039568
19:00:00,19:19:42,370.0,-1.8750000000039568
19:00:00,19:27:04,442.0,11.250000000002924
19:00:00,19:27:15,11.0,-3.749999999999587
19:00:00,19:27:32,17.0,11.249999999998764
19:00:00,19:27:33,1.0,-3.749999999999588
19:00:00,19:27:37,4.0,3.749999999999588
19:00:00,19:27:38,1.0,-3.749999999999588
19:00:00,19:27:48,10.0,3.749999999999588
19:00:00,19:27:49,1.0,-3.749999999999588
19:00:00,19:27:52,3.0,1.874999999999794
19:00:00,19:27:59,7.0,-1.874999999999794
19:00:00,19:28:02,3.0,1.874999999999794
19:00:00,19:29:36,94.0,-1.874999999999794
19:00:00,19:29:42,6.0,3.749999999999588
19:00:00,19:29:50,8.0,-1.874999999999794
19:00:00,19:29:56,6.0,1.874999999999794
19:00:00,19:29:57,1.0,-1.874999999999794
19:00:00,19:30:12,15.0,1.874999999999794
19:00:00,19:37:06,414.0,-11.249999999998764
19:00:00,19:37:11,5.0,3.749999999999588
19:00:00,19:37:59,48.0,-3.749999999999588
19:00:00,19:41:17,198.0,14.999999999998352
19:00:00,19:43:57,160.0,-7.499999999999176
19:00:00,19:45:46,109.0,5.624999999999382
19:00:00,19:45:47,1.0,-1.874999999999794
19:00:00,19:45:49,2.0,3.749999999999588
19:00:00,19:45:50,1.0,-3.749999999999588
19:00:00,19:45:55,5.0,1.874999999999794
19:00:00,19:46:01,6.0,-1.874999999999794
19:00:00,19:46:10,9.0,3.749999999999588
19:00:00,19:46:43,33.0,-3.749999999999588
19:00:00,19:46:54,11.0,1.874999999999794
19:00:00,19:47:11,17.0,-1.874999999999794
19:00:00,19:47:24,13.0,3.749999999999588
19:00:00,19:47:25,1.0,-3.749999999999588
19:00:00,19:47:28,3.0,1.874999999999794
19:00:00,19:48:01,33.0,-1.874999999999794
19:00:00,19:49:24,83.0,3.749999999999588
19:00:00,19:49:25,1.0,-3.749999999999588
19:00:00,19:49:29,4.0,3.749999999999588
19:00:00,19:49:42,13.0,-3.749999999999588
19:00:00,19:49:53,11.0,3.749999999999588
19:00:00,19:49:54,1.0,-3.749999999999588
19:00:00,19:50:09,15.0,3.749999999999588
19:00:00,19:53:22,193.0,-7.499999999999176
19:00:00,19:53:23,1.0,3.749999999999588
19:00:00,19:53:57,34.0,-1.874999999999794
19:00:00,19:54:46,49.0,1.874999999999794
19:00:00,19:55:48,62.0,-5.624999999999382
19:00:00,19:55:52,4.0,1.874999999999794
19:00:00,19:56:02,10.0,-3.749999999999588
19:00:00,19:56:05,3.0,3.749999999999588
19:00:00,19:56:07,2.0,-3.749999999999588
19:00:00,19:56:11,4.0,1.874999999999794
19:00:00,19:56:49,38.0,-1.874999999999794
19:00:00,19:57:32,43.0,3.749999999999588
19:00:00,19:57:36,4.0,-3.749999999999588
19:00:00,19:57:42,6.0,3.749999999999588
19:00:00,19:57:43,1.0,-1.874999999999794
19:00:00,19:57:44,1.0,1.874999999999794
